ID,Target,Text,Status
201,0,"I am uncomfortable agreeing to the terms, and I will have to terminate this process at this stage. Thank you for your time",Ready
202,0,I do not feel comfortable with the terms of the document,Ready
203,1,I accept the offer.,Ready
204,1,I attached. Thank you,Ready
205,1,I signed the consent form . Please find the attchment for details.,Ready
206,1,Sorry for the misunderstanding. Attached is the consent signed by me. Many thanks for your email and all your assistance.,Ready
207,1,Many thanks for your email and all your assistance. Attached is the consent signed by me.,Ready
208,1,Please see the attached. Thanks,Ready
209,1,Please see my comments in original mail. Thanks.,Ready
210,1,Please find attached signed BGV form.,Ready
211,0,"Thanks for your mail. Actually I don't know what FADV really wants. For below mentioned content, I think I have uploaded in their system. I remember they told me some signature wrong in my form, and I have revised according to their suggestion and re-upload again. But since all the communication is by mail and several docs need to submit, now I'm lost where is wrong with which document now... Can FADV resend me the required doc and I sign again? Thanks.",Ready
212,1,Attached pls find my signed consent form. Thanks for your kind help.,Ready
213,1,"Attachment is the consent, please review. thanks for your help.",Ready
214,1,Please check the attachment. Provide Employment Separation Certificate ( ) It belongs to MS onsite for EPG Provide Employment Contract,Ready
215,1,Please check my signed BGV document in the attachment and let me know if you need more information. Thanks a lot,Ready
216,1,"Attached two documents with fomat of pdf. And my date of birth on the identify card is 22 Jan, 1995. Thanks!",Ready
217,1,"Thanks for your clarification, now it's much clear. Please kindly find the photo in attachment, feel free to reach out to me in case anything else I misunderstood.",Ready
218,0,"FYI. Self- Employment (2017 & 2018) (2020 & 2021) Apologize for sharing the screenshot only in Chinese, as the English version of the personal summary is out of support on those platforms. For the detailed contents, I'm unable to share with you since it's conflicting with the NDA of the businesses/projects I've signed with the owners. Hope that's adequate for the BGV, otherwise please feel free to reach out to me via",Ready
219,1,"Yes exactly, it is the only documents that I'm able to provide. Please kindly find the attached email I sent to your colleagues regarding this topic two months ago. (The response from your side has been removed automatically by my email provider, but I suppose you may find some history referring this timeline) Hope this answers your question.",Ready
220,1,"Attached Offer letter and Contract (while in Chinese), showed my position and start date. Windows :",Ready
221,1,I have reviewed and signed the consent form as attached.,Ready
222,1,"As I served as a Freelance during that period: The payroll agency is: Innovare The client is: Pfizer Attached is the contract signed with Innovare, hope it can clarify the discrepancy I inputted.",Ready
223,1,please find the signed consent in attachment . Thank you and,Ready
224,1,"The requested documents were already collected by local HR, Hantian who is in cc, before onboard. Please find the attached email.",Ready
225,1,"Madam, Please check the attached consent form for BGV. Thanks.",Ready
226,1,"I have attached the scanned copy of consent form, please have a check, thanks.",Ready
227,1,"Thanks for waiting, here is my consent form.",Ready
228,0,"Sorry for this late reply ,I just came back from my annual leave and notice this E-mail. Will do asap.",Ready
229,1,"Please see the attachment, thank you.",Ready
230,1,"Completed,thank you.",Ready
231,1,My BGV consent form is attached to the email.,Ready
232,1,find attached person income tax form (Password is 292532) and employee certification from techmahindra. below are the HR contract information in Techmahindra and my Id. My id: 437178 HR Contact:,Ready
233,1,"see signed doc. Thanks, JSH",Ready
234,1,I have signed manually. Please check the attach file.,Ready
235,1,Rose Puri Thanks a lot for your trust! It's my great pleasure to join SAP! Attached please find documents you requested. Thanks for your time! Hope you have a nice day!,Ready
236,1,Attached are my resignation certificate and income certificate. Please check them. Thank you very much.  15311910737,Ready
237,1,"Thanks you for your work. I have reviewed and signed the consent form. Thanks,",Ready
238,1,please see attachment,Ready
239,1,"I re-signed the consent form as required, please check the attachment.",Ready
240,1,"I have signed the consent form, please see the attachment for details.",Ready
241,1,It's scanned copy.,Ready
242,1,Please refer to the attachment for certificate.,Ready
243,1,"The attachment is the consent form I signed on April 30. If there are any problems, please contact me, thanks.",Ready
244,1,"The attachment in last email is e-signature, I resend you a manually signed consent form in this email. If anything wrong, please contact me, thanks for your help.",Ready
245,1,Please refer to the attachment for signed consent form. Thanks.,Ready
246,1,This is my BGV Consent Form,Ready
247,0,have done it again,Ready
248,1,"Thanks for your reminding. I have signed it manually, it's attached in this email.  2021-04-26",Ready
249,1,The attachment is the document that I signed.,Ready
250,1,"The doc attached to This email is correct. I am sorry about that. Thanks,  2021-04-23",Ready
251,1,"I reviewed and signed the consent form, the attachment is the signed document,",Ready
252,1,I am sorry about that. The attachment is the photograp which I signed.,Ready
253,1, I have reviewed and signed the consent form. You can see it in the attachment .,Ready
254,1," I don't know whether to sign Chinese name or English name, so I signed two copies. Two scanned copies of the signature. In the attachment, you can choose what you need: English signature: BGV Consent Form_China.pdf Chinese Signature: BGV Consent Form_China ( ).pdf",Ready
255,1,"attached ""BGV Consent Form_China-signed"" to the attachment for your reference. Thank you Have a good day!",Ready
256,1,"I also attached paper scanned documents named ""paper scanned-"" . Signed with PDF documents named ""BGV Consen t Form_China-signed"" for your reference. Thanks",Ready
257,1,"I received an email which showed that it was not delivered successfully, so I sent it again. Update: I also attached paper scanned documents named ""paper scanned-"" . Signed with PDF documents named ""BGV Consent Form_China-signed"" for your reference. Thanks",Ready
258,1,Thank you for your email! Here I attached my consent form. I hope you have a great day!,Ready
259,1,I'm sorry for the trouble! Here I attached the manually signed and scanned copy. Please let me know if there is any other information I can provide. Thank you!,Ready
260,1,Consent form is signed and reviewed.,Ready
261,1,I think this time the signed copy should works fine. Please let me know if you have any questions.,Ready
262,1,you for your reminding. I have scanned a new copy and uploaded it in the attachment. Please kindly check.  Outlook for iOS :,Ready
263,1,"Thanks for the Email. As for 's supporting documents, please kindly check the attachment. This is my resignation certificate, which lists my entry, resignation time and position name. For the relevant supporting materials of the future hotel, my ID number is wb530453 By asking the current staff, the change of HR Director may be due to your failure to contact. The current HR name is and the telephone number is + 86 15032350751 Please feel free to contact her. If you need more supplem entary documents or information, please feel free to contact me Wish you all the best",Ready
264,1,"The document for signature is attached, please kindly check! Wish you all the best!",Ready
265,0,"I'd like to follow up to confirm if the consent form is received. When should I expect to get the link to upload documents? Thanks,  On Apr 23, 2021, at 18:24, Joy",Ready
266,1,"Please find the employment verification letter attached for my job at Ta Kung Pao. It's only available in Chinese. Would this work for my background check? Let me know if you need additional information. Thanks,  On Jun 2, 2021, at 11:58, ",Ready
267,1,"Attached is HP offer letter which sent by HP in 2010. And it's hard to find the Paystubs in 2016,becasuse I cannot login the HP HR system any more, I just can provide the Bank transfer records to you, thank you!",Ready
268,1,"Attached is my offer letter which sent by the HP HR system, and the bank trasfer recode in 2016, you can check it out, thank you! The HP splited into HPI and HPE( ). And I also provide the my resignation letter as attachement as well, I hope that meet the verification from your side, thank you.!",Ready
269,0,"Sorry, there is no company name in the system, I cannot get it from my side. I think you can check the bank transfer records which I sent you before, they contains the company name and shows it is salary as well, thank you. Derek",Ready
270,1,"pls check the attached file, thank you!",Ready
271,0,"I am in business traveling now, and i cannot find related document within reach, I will try to find related document when I am back to home thank you Derek",Ready
272,0,"Since the new project just started, maybe in April 4th when I am flyback. Then I will try to find the documents and send to you, thank you.",Ready
273,1,Pls check the attached files. 1. Offer with stamp and my signature 2. housing fund records in 2016.,Ready
274,1,I accept the offer.,Ready
275,1,I accept the offer.,Ready
276,1,Attached is my consent form.,Ready
277,1,"Ok, attached is the revised form.",Ready
278,1,signed consent is attached.,Ready
279,0,"I had an issue to ask about the current address in this background check. As I filled the first address (current address) for my profile, I mistakenly chose CHINA MAINLAND which I thought was the permanent residential country. As I realised that should be the current living address, I could not go back to change it. Hence, I filled in the address where I lived in China (Zhuzhou) with the period from April 2021 to now. But actually I am in Germany , the current address is the one which I filled as the second german address ",Ready
280,1,I updated this document with a scanned manual signature. Please check it in attachment.,Ready
281,1,"Here is my documents. Please let me know if you need any additional information. By the way, I am still waiting for my degree certification.",Ready
282,1,Sure. Here is my transcript.,Ready
283,1,Here is my scanned document. Thanks!,Ready
284,0,My degree certification has been mailed to me from the university last week. We have to wait for another two or three days I think. Here is the emails between the University Registrar and me.,Ready
285,1,Here is my consent form. Thanks!,Ready
286,0,Sure. Can I send it to you tomorrow? Because all the print shops are closed now.,Ready
287,0,"According to the university registrar, because of the fact that I graduated in March 2021, the record of my degree will not be posted on their system until 8 p.m., April 30, 2021, which means that I cannot get the degree verification before that time. I can show you all the emails between university registrar and me.",Ready
288,1,"Finally I received my degree certification, which is attached in this email. Thanks for your waiting!  From:  ",Ready
289,0,"Oh, sorry. Can you see the attachment now?",Ready
290,1,"I have printed, signed and scanned the copy. Sorry for the mistake and thank you for reminding me.",Ready
291,1,Here is the scanned copy with manual signature.,Ready
292,1,Please find attached my signed BGV Consent Form. Thank you very much!,Ready
293,1,Attached is the hand-signed copy. Thank you!,Ready
294,1,Please find the attachment for the signed consent form,Ready
295,0," Thanks for reaching. Please find the attachment. I read this email carefully and basically understand the process. Only one concern here - because it is Chinese New Year vacation now and I'm back in hometown from Dalian, but all my documents, including employment contracts and education certificates are in Dalian currently. I cannot provide the soft copy of them until 21th Jan. Will this lead to the BV delay? Please kindly make me aware if anything.",Ready
296,1,Please check the attached first half of my contract with Fidelity Dalian. Let me know if any doubts/concerns.,Ready
297,1,Please check the attached second half of my contract with Fidelity Dalian. Let me know if any doubts/concerns. Best,Ready
298,1,Thank you for the confirmation. Wish you a nice day:),Ready
299,1,My certificate of employment in ABeam Consulting is attached. Thank you.,Ready
300,1,"Recruiting Department, The signed-consent form is attached. Thank you.",Ready
301,1,The scanned signed-consent form is attached. Thank you.,Ready
302,1,"Thanks for your kind email. Since the English name of ""Deshuo Management Consulting (Shanghai). Co., Ltd."" is ""A Beam Consulting"", which is stated by the company itself, you can find the seal on the last page showed ""ABeam"" and "" (Deshuo Mana gement Consulting (Shanghai). Co., Ltd.)"". Hope this can be helpful. Thank you.",Ready
303,1,Enclosed please find my signed consent letter for background check. Thanks &,Ready
304,1,Thanks for the reminder. Enclosed please find my signed copy of consent. Let me know if you have any inquiry. Thanks. Thanks &,Ready
305,1,I have signed the document again please check.,Ready
306,1,"Sorry about inconvenience, I have attached a new file this one is a manually signed one, please proceed the background check.",Ready
307,1,"Please go ahead with the background check, I have signed and attached the consent form.",Ready
308,1,have signed the consent. Thank you.,Ready
309,0,"give me a moment. I am working from home today, I will go out to find a printer and print it out during my lunch",Ready
310,1,Please kindly see the attachment and let me know if additional info is required. Thank you.,Ready
311,1,"Madam, I'm very happy to join SAP! I've well received the email. The attachment is the consent of my Background Verification with my signature. Thanks you for your time!",Ready
312,1,"The attachment is my relieving letter from my former company - Shanghai Mingqi Educational Institution, which contains the information of my position and dates of employment in the company. Hope this file is enough for my background verification. If you need any further information, please let me know. Thanks!",Ready
313,1,"Joshua, Thanks for your information. The attachment is a copy signed as required. Thank you!",Ready
314,1,"Attached is the signed consent form for the background check. Have a nice day, Eric",Ready
315,1,"Apologies, the previous email ended up in my spam folder. Please find attached the signed consent form.",Ready
316,1,"I don't have a Chinese ID as I'm a German citizen. Please see attached my passport scan. On Tue, Feb 16, 2021 at 08:10 Ortanez, Katherine Lorraine ",Ready
317,1,", Thank you for your email. I have signed the BGV Consent Form,please kindly check.",Ready
318,1,"Operation Team, Please find attached BGV consent form with my signature.",Ready
319,1,"I have signed the consent form, but something happened to me yesterday and I didn't see the email, so I couldn't reply within 24 hours, I'm really sorry.",Ready
320,1,I consent the background verification.,Ready
321,1,"I can only provide the document in  Net https://www.chsi.com.cn/) now. It can prove my degree. 2021-02 -02 20:16:51 """" ",Ready
322,1,I will provide the degree certificate as soon as I return to school when the winter vocation ends on 15 March 14741143569,Ready
323,1,I'm so sorry for the delay.These are my bachelor degree certificate. Thank you!,Ready
324,0,I didn't find any forms attached to the previous email. Would you please help out on this? Thanks!,Ready
325,0,It seems that there was no file attached to this email. Could you help check again? Thanks!,Ready
326,1,Please find the signed form in the attachment. Thanks!,Ready
327,1,I would like to provide you with my latest marksheet issued in January 2021. This is the most recent document I can find for now and hope that this can meet the requirements.,Ready
328,1,Attached is my signature.,Ready
329,1,The signed form is attached.,Ready
330,1,I have signed,Ready
331,1,Attached picture is the signed paper.,Ready
332,1,The form has been signed.,Ready
333,0,"Hope you have a nice day, I have not received an automatic email from the third party so far. Do I need to wait more time?",Ready
334,1,Hi; Pls. find my signature as attached. Thanks.,Ready
335,1,please check the file thanks,Ready
336,1,"please check the photo/scanned copy, thank you",Ready
337,0,"How's the background check going? How long will it take? I have submitted relevant materials for about a week, but it seems that I haven't received relevant feedback Thank you 2021-08-30 21:45:04 "" """,Ready
338,1,"Please kindly find the attached signed copy. Thanks, Jessica From:",Ready
339,1,Notice that I have received two emails for background verification. Both BGV Consent Form have been signed and attached to this email. Please check. Thank you.,Ready
340,1," I've completed my profile, please find it. Thanks and",Ready
341,1," I have signed the consent form, please find the attachment. Thanks.",Ready
342,1, I'm sorry my feedback is late. I have submitted the certificate of Sichuan University to HR in May 7. Please find the attached and check. Thanks.,Ready
343,1,"Thanks to reach out. Sign the statement and copy over, let me know if there is any other step I should follow. : Glob",Ready
344,1,", Thank you for your contact. I have signed up the consent and attached it here. Please have a look. Have a great weekend.",Ready
345,0,"1. I don't have any copy of document in hand to prove employment of  since 2014.4 to 2016.10 because it was long time ago, attachment 1 is screenshots for my endowment insurance payment detail, there are company names in it 2. attachment 2 to prove employment since 2016.10 to 2021.5 thanks",Ready
346,1,I have signed the consent form as required. Please check the attachments.,Ready
347,1,I worked for SAP from July 10 2017 to 17 July 2019. My I number was . Please check the attachment for my copy of national ID card. Thank you.,Ready
348,1,Please find attached printed copy signed by pen for your further processing. Thank you,Ready
349,1,", Please find attached signed consent form for your further processing Thank you",Ready
350,1,I have signed the consent form for background verification. Please get the file form from the attached. Thanks.,Ready
351,1,I have accepted this consent.,Ready
352,1,"HR, Please see the attached consent form which has been reviewed and signed. Thank you.",Ready
353,1,"HR Team, Please see the attached requested file.",Ready
354,1,"hi~ bgv consent is in the attachment, please check it. 2021-04-22 23:25:36 """,Ready
355,1,am. Here is the document please check it.,Ready
356,1,check the attached signature. Thank you Rui 2021 4 15 18:16,Ready
357,1,"Yes, I received the new mail and now it works. I have complete the online application. Thanks for your help.  2021 4 23 1:20  ",Ready
358,1,Please check the attachment.,Ready
359,1,"Thank you for the email. Please check the attachment of my consent form. Any questions, please let me know. Best",Ready
360,1,", Sorry for getting back to you so late. I've signed the consent form and attached it.",Ready
361,0,"Sorry, I forgot to add the attachment. Tel 18012536658 Mail",Ready
362,1,"appreciate to recive your message, and ready to join you! The BGV Consent Form is in the attachment, please note to check.",Ready
363,1,"appreciate to recive your message, and ready to join you! To be safe, I send a photo of the form to you again, please note to check.",Ready
364,1," I have received your e-mail This is to confirm that I have knowledged your request. Attached signed consent form, I am very willing to cooperate with your work.",Ready
365,1,Thanks for your mail. Please find the attachment. Thank you &,Ready
366,1,The attached image is my signed consent form.,Ready
367,1,"The BGV consent form with my signature is attached in this email, please have a check. If there is any improper mistakes, please feel free to contact me.",Ready
368,1,Signed BGV Consent Form attached  :,Ready
369,1,"/ Madam, Sorry for the late reply. I've attached the signed consent form as requested . Please kindly check that. Thank you.",Ready
370,1,Sorry that I didn't read this email before and I hope it's not too late to send it to you! Attached is my signed consent form. Thanks! Looking forward to your reply.  From:,Ready
371,1,"Here is my signed consent form. Thank you,",Ready
372,1,Please find signed BGV consent form as attached. Thank you. Thanks &,Ready
373,1,"Kindly find the signed BGV Consent Form attached, thanks.",Ready
374,1,"find attached the signed consent form. Thanks, ",Ready
375,1,"Please find attached the scanned copy of printed and signed consent form. Please let me know if it meets the requir ement. Thanks, ",Ready
376,1,"Recruiters, attached please find the signed BGV consent. Thank you for helping me.",Ready
377,1,Here is attached for BGV Consent Form that I already signed. Thank you,Ready
378,1,The consent form is attached.,Ready
379,1,I reviewed the information and signed the consent. please check the attachement picture.,Ready
380,1,Thank you for your email. I have signed the consent form and attached it.,Ready
381,1,Thank you for your email. I'm sorry that I forgot to add the attachment in the last email. I have signed the consent form and attached it.,Ready
382,0,"Sorry, this error caused by myself. I know why the time difference now. I graduated in 2012 and left the school for work . But in this time, school just give me Certificate of completion, because I have elective courses not finish. After 2012, I completed the elective courses and applied for the graduation certificate, so the current latest certificate shows that I graduated in 2014. Because the school only keeps the latest certificate, I can't provide the certificate of 2012 now. If have anything else I need to do , please let me know.Thank you very much!",Ready
383,0,"I did graduate in 2012, but according to my diploma, it was 2014. I don't know if it was a school mistake or something else. I need go to school to check why the time different. I will ask the school to issue a certificate if possible. I'll tell the reason as soon as possible. In my case, Can you give me some advice Thank you very much!",Ready
384,1,Please check the attachment.Thank you!,Ready
385,1,Thanks for your advice. Attached is my student transcript. It is recorded that my graduation project was completed in 2012.,Ready
386,1,Please check the attached file.,Ready
387,1,Attached is the consent form for your review. Thank you.,Ready
388,1,I accept the Background Varification.,Ready
389,1,"accept the Background Varification. Here is the photo copy of my submission. Please see the attachment. Sincerely,",Ready
390,1,Please find the signed BGV Consent form as attachment.,Ready
391,1,"please find the consent form in the attachment, thank you.",Ready
392,1,This is my peroson information statement.Thank you!,Ready
393,1,I am very pleasure to accept the Background Verification. Please see attached file for the consent form. Best,Ready
394,1,The attached file is my signed consent form. Thank you.,Ready
395,1,I just found my Graduate Employment Agreement. The attached is picture of the Graduate Employment Agreement. Hope this helps. Thank you.,Ready
396,1,BDV Consent Form has been attached to this E-mail.,Ready
397,1,"I have signed the consent form, pls see it in the attachment.",Ready
398,1,Thanks for your explanations. Please find the attached for my manually singed copy. Please let me know if there is any more information need to be provided.,Ready
399,1,Please find the required manually singned consent.,Ready
400,1,Please find my signed consent form attached.,Ready
401,0,As I am afraid my last letter did not reach you. Please let me resend the mail.,Ready
402,1,"Lahaba, Please find the signed consent in the attachment. Thanks",Ready
403,1,"Please find the attach signed document for background check confirmation. Thanks,",Ready
404,1,Please find the attached form. Thanks!,Ready
405,1,Please kindly refer the signed consent form for background verification. thanks.,Ready
406,0,"Thank you for letting me know this information. I do have the offer letter that can prove my start date and job title, but I remembered that document is strictly confidential. Could you accept if I cover some of the clauses and information of the company? But I will leave the start date, job title, signature and all the necessary information for you to check. Please let me know if that's acceptable or not. Thank you.",Ready
407,1,"I cannot find a proper link to upload the file. Please find the letter in the attachment, which includes the start date, my title, signature. As it is a confidential document, sorry I have to delete some pages in the middle. Please let me whether it helps or not. Thank you.",Ready
408,0,"Hope you are well. As it's been for a week since I provide the material, Could you please let me know whether it is a valid one or not? Also, is that all good of the background check? Any further documents I need to provide? Thank you. Reagrds, ",Ready
409,1,"Kindly check the attachment, thank you. Outlook for iOS :",Ready
410,0,"Sorry to disturb you again, may I ask your help to check the current status? I haven't received any link or mail to start background verification, is there anything wrong with my attached document?",Ready
